context,response
"We could use your opinion, House, or at least your attention.",Jack Cannon is not dead. It's worse. Ten books leading up to a final confrontation. She ends it on a cliffhanger. Who does that?
People who want to sell you the 11th.,"She was gonna kill herself. This is the final Jack Cannon. Nothing gets resolved. Who's his father? Who killed his brother? How'd he get that damn scar on his cheek, and why is he obsessed with yo-yos?"
Is there anything in it that pertains to our case?,Yeah. I know why she wanted to kill herself.
Yeah. I know why she wanted to kill herself.,"His mentor, Helen Rutherford, has contracted a serious illness, which consists of joint pain, fatigue, sensitivity to light, and depression."
How do we know this mentor character's really Alice?,Helen dies halfway through the book. Shoots herself in the head... to save Jack from having to care for her.
If we add those to the symptoms we've seen and the pericardial effusion... it's lupus.,Can't be lupus.
"Given good! !ish behavior and 8 of 12 months time served, we have the discretion to grant parole, Friday the 10th, five days from now. Are you sorry about what you did?",Yes.
Yes?,"Well, that's the correct answer, isn't it?"
Are you trying to annoy us?,"No, I'm just trying to give you the answers you need to cover your asses, fill out your forms, and let me out of here."
We need you to show us remorse.,Is that how our system works? Release the best actors? I shudder to think what that world would be like.
You drove your car into your ex-girlfriend's House and then fled the country for three months.,"I knew that her daughter was at grandma's, like Every Friday, and I saw Everyone else move into the living room."
They could've moved back.,Which I would've noticed since I was driving right towards them.
"Shut up. We got an order to reduce overcrowding. But let me be clear ï¿½ you mouth off to one guard, we catch you with a single cafeteria tray in your cell, you break any rules I don't Even remember, you can Park your ass here for four more months. So forget being sorry. Can you stay out of trouble for five days?",Yes.
Gather for meds! Asofa!,Yeah.
Why you keep helping him out?,"Yeah, why would I wanna make sure that my homicidal cellmate is taking the right anti-psychotics?"
Mendelson!,He's on 80 mg of Propranolol. That's 40.
No worries. I like my nurses naughty.,"I'm starting to think, Mendelson, that you just really like the taste of my spit."
"Hey, House. Check out our new brand, huh?",You really got a thing for swastikas! Mendelson. Like an ironic thing?
It's a GerMan name.,"So's ""House."" I'm Jewish. Nah, I'm a black, gay gypsy."
Knight to King's Bishop three.,Queen to King's Bishop sEven.
"Hey. You're House, right? I got these weird pains in my elbows and in my kneesï¿½","You know what's weirder? It's how the clinic is a large room and you somehow confused me with it. Although, to be fair, I am large."
"You know what's weirder? It's how the clinic is a large room and you somehow confused me with it. Although, to be fair, I am large.","Hi, Rollo. I realize this is pRobably a rhetorical question ï¿½ Why are you stealing my stuff?"
"Hey, House. I heard you're on short time. You won't need this.","You heard about my parole, but not about my violent reactions when people steal my tuna. Put it back."
Nuh-uh.,"Really? You're stepping to a guy who outweighs you by 50 pounds and who's carrying a cane, which, while prison-approved, would still cause some issues if inserted into your colon."
"You wanna get back at these guys? Get out alive on Friday. All right, now go to work, House. Oh, and that was Checkmate, right?",Yep.
"I heard you're on that short time, House?","If you like tuna, you're a little late."
],It's not gonorrhea.
I didn't say it was.,"Not out loud, but you're figuring that joint pain, plus fEver, plus a low lifestyle equals a ceftriaxone prescription."
House used to be a doctor.,Not going back. And that look of shock is elitist and offensive. Doctors can be degenerates. This is America. There's subtle eyebrow loss. It's lupus.
"Well, there's no discoid or malar rash on his face.",Which would be dispositive if he was just a giant head.
"No, there's no reason to search for a bodily rash since lupus doesn't usually present that way.","""Usually""? Well, I guess that's good enough for prison work. You don't write people up for mouthing off, do you?"
You don't wanna mess with Stomper. He didn't get that name because he's a fan of Santa's reindeer.,You think one of Santa's reindeer was called Stomper?
Y-you're missing my point.,I'm not gonna listen to a guy who can't name the reindeer.
